Tag	Tag File Name	Seq	Folder	Title	Author
cultural evolution	cultural-evolution.html	3	quotes	Luxuries tend to become necessities	Yuval Noah Harari
cultural evolution	cultural-evolution.html	3	quotes	The Makers of Things	Barack Obama
cultural evolution	cultural-evolution.html	3	quotes	Man's nature is an open, constantly evolving system	Clare W. Graves
cultural evolution	cultural-evolution.html	3	quotes	Merely Thoroughly Outrageous	Margery Allingham
cultural evolution	cultural-evolution.html	3	quotes	Moral Religion	Albert Einstein
cultural evolution	cultural-evolution.html	3	quotes	Most sociopolitical hierarchies lack a logical or biological basis	Yuval Noah Harari
cultural evolution	cultural-evolution.html	3	quotes	Myths are stronger than anyone could have imagined	Yuval Noah Harari
cultural evolution	cultural-evolution.html	3	quotes	Never Knew Cocaine to Improve Anything	Joe Boyd
cultural evolution	cultural-evolution.html	3	quotes	No single natural way of life for Sapiens	Yuval Noah Harari
cultural evolution	cultural-evolution.html	3	quotes	Only a Human Being	Albert Einstein
cultural evolution	cultural-evolution.html	3	quotes	The only dependable things are humility and looking	Richard Powers
cultural evolution	cultural-evolution.html	3	quotes	Our long-term personal and societal goals	David Sloan Wilson
cultural evolution	cultural-evolution.html	3	quotes	Our Social Order Now in a State of Permanent Flux	Yuval Noah Harari
cultural evolution	cultural-evolution.html	3	quotes	Our species does represent a new evolutionary process	David Sloan Wilson
cultural evolution	cultural-evolution.html	3	quotes	Push Outward	Michel Foucault
cultural evolution	cultural-evolution.html	3	quotes	The Real Problem of Humanity	E. O. Wilson
cultural evolution	cultural-evolution.html	3	quotes	Religions are great bushy trees	David Sloan Wilson
cultural evolution	cultural-evolution.html	3	quotes	Sixties Surpluses of Money and Time	Joe Boyd
cultural evolution	cultural-evolution.html	3	quotes	The system has been shaping and reshaping our minds	Yuval Noah Harari
cultural evolution	cultural-evolution.html	3	quotes	These principles have no objective validity	Yuval Noah Harari
cultural evolution	cultural-evolution.html	3	quotes	This Highest Kind of Religious Feeling	Albert Einstein
cultural evolution	cultural-evolution.html	3	quotes	Those who tolerate or encourage evil	Albert Einstein
cultural evolution	cultural-evolution.html	3	quotes	Thralls to group instincts	Walter Mosley
cultural evolution	cultural-evolution.html	3	quotes	The time-worn yoke of their opinions	Ralph Waldo Emerson
cultural evolution	cultural-evolution.html	3	quotes	The Toxic Mix of Religion and Tribalism	E. O. Wilson
cultural evolution	cultural-evolution.html	3	quotes	An ultracultural species is born	Brian Hare and Vanessa Woods
cultural evolution	cultural-evolution.html	3	quotes	A vast repository of information learned and passed down from previous generations	David Sloan Wilson
cultural evolution	cultural-evolution.html	3	quotes	We have the capacity to envision a better future and make it a reality	Victor Hwang
cultural evolution	cultural-evolution.html	3	quotes	Why study history?	Yuval Noah Harari
cultural evolution	cultural-evolution.html	3	quotes	You have your position because of the events of history	Martin Luther King Jr.
culture	culture.html	3	quotes	Change is the one constant when it comes to culture	Wade Davis
death	death.html	3	quotes	Dying is a very dull, dreary affair	W. Somerset Maugham
democracy	democracy.html	3	quotes	An agenda of ambition and hope	Emmanuel Macron
democracy	democracy.html	3	quotes	Americans' faith in democracy is at a record low	Leah Greenberg and Ezra Levin
democracy	democracy.html	3	quotes	The Credibility of a Comedian	Jon Stewart
democracy	democracy.html	3	quotes	Crosscutting Alliances	Steven Levitsky and Daniel Ziblatt
democracy	democracy.html	3	quotes	Democracy is Worst Form of Government	Winston Churchill
democracy	democracy.html	3	quotes	Mass Movements and Boredom	Eric Hoffer
democracy	democracy.html	3	quotes	A multiethnic democracy in which no particular ethnic group is in the majority	Danielle Allen
democracy	democracy.html	3	quotes	The Opposite of Popularizing Economics	Yanis Varoufakis
democracy	democracy.html	3	quotes	The Paranoid Style in American Politics	Richard Hofstadter
democracy	democracy.html	3	quotes	Public morality	Robert B. Reich
democracy	democracy.html	3	quotes	Struggling against irrelevance	Yuval Noah Harari
democracy	democracy.html	3	quotes	The Ultimate Democracy	Paul McCartney
democracy	democracy.html	3	quotes	Unwritten Democratic Norms	Steven Levitsky and Daniel Ziblatt
democracy	democracy.html	3	quotes	What Democracy Is	E. B. White
democracy	democracy.html	3	quotes	What would a new social compact look like?	Edward Luce
democracy	democracy.html	3	quotes	Writing off half of society as deplorable	Edward Luce
design	design.html	3	quotes	Design is the fundamental soul of a man-made creation	Steve Jobs
design	design.html	3	quotes	Economics is essentially a question of design	Kate Raworth
design	design.html	3	quotes	We have wonderful arguments	Steve Jobs
diversity	diversity.html	3	quotes	Ancient ethnic sores belching fire	Don Beck and Chris Cowan
diversity	diversity.html	3	quotes	Crosscutting Alliances	Steven Levitsky and Daniel Ziblatt
diversity	diversity.html	3	quotes	Diversity Helps Your Business -- But Not The Way You Think	Katherine Phillips
diversity	diversity.html	3	quotes	The Divine Gift of Purely Nonsensical Speech and Action	Edmund Crispin
diversity	diversity.html	3	quotes	First they came...	Martin Niemöller
diversity	diversity.html	3	quotes	Homophobia	Ken Wilber
diversity	diversity.html	3	quotes	Ism-mania	Robert Riskin
diversity	diversity.html	3	quotes	Model II Decision-Making	Chris Argyris and Donald Schön
diversity	diversity.html	3	quotes	A multiethnic democracy in which no particular ethnic group is in the majority	Danielle Allen
diversity	diversity.html	3	quotes	Postel’s Law	Jon Postel
diversity	diversity.html	3	quotes	Public morality	Robert B. Reich
diversity	diversity.html	3	quotes	Seeing the Bigger Picture from Multiple Angles	Jeff Bezos and Jason Fried
diversity	diversity.html	3	quotes	Ten Commandments for Teachers	Bertrand Russell
diversity	diversity.html	3	quotes	We don't even own suits	Apple
education	education.html	3	quotes	An agenda of ambition and hope	Emmanuel Macron
education	education.html	3	quotes	Conscious Improvement for the Masses	Edward Luce
education	education.html	3	quotes	Cost of Education	Derek Bok
education	education.html	3	quotes	Defending the pursuit of learning	John F. Kennedy
education	education.html	3	quotes	The evil in the world comes almost always from ignorance	Albert Camus
education	education.html	3	quotes	Hands that must work	Lauretta Bender
education	education.html	3	quotes	Ignorant and Free	Thomas Jefferson
education	education.html	3	quotes	I must study politics and war	John Adams
education	education.html	3	quotes	Intelligence plus Character	Martin Luther King Jr.
education	education.html	3	quotes	Investing in other people's children	Robert Putnam
education	education.html	3	quotes	Learning from Experience	Peter Senge
education	education.html	3	quotes	Learning how to exercise some control over how and what you think	David Foster Wallace
education	education.html	3	quotes	Life is a series of daring adventures from a secure base	David Brooks
education	education.html	3	quotes	The Opposite of Popularizing Economics	Yanis Varoufakis
education	education.html	3	quotes	Preparing Managers to Manage	Matthew Stewart
education	education.html	3	quotes	Prime training for permanent underclasses	John Taylor Gatto
education	education.html	3	quotes	Quality Matters	Dambisa Moyo
education	education.html	3	quotes	Quality of Children vs. Quantity	Margaret Mead
education	education.html	3	quotes	Relieving Ignorance	Matthew Stewart
education	education.html	3	quotes	Ten Commandments for Teachers	Bertrand Russell
education	education.html	3	quotes	To differentiate truth from falsehood	Robert B. Reich
education	education.html	3	quotes	To save man from the morass of propaganda	Martin Luther King Jr.
education	education.html	3	quotes	The US remains astonishingly backward when it comes to education	Anu Partanen
education	education.html	3	quotes	You can simply focus on raising a human being	Anu Partanen
equality	equality.html	3	quotes	Accidents of birth	Anu Partanen
equality	equality.html	3	quotes	All must be held valuable, or none	Edmund Crispin
equality	equality.html	3	quotes	Any Love for Justice	James Baldwin
equality	equality.html	3	quotes	The Arc of History	Martin Luther King Jr.
equality	equality.html	3	quotes	By Gifts One Makes Slaves	Peter Freuchen
equality	equality.html	3	quotes	Capitalism as a Market Society	Yanis Varoufakis
equality	equality.html	3	quotes	Capitalism works best in societies where there are high levels of trust	Edward Luce
equality	equality.html	3	quotes	A Coke is a Coke	Andy Warhol
equality	equality.html	3	quotes	The Columbia Disaster	Dennis Stauffer
equality	equality.html	3	quotes	Conscious Improvement for the Masses	Edward Luce
equality	equality.html	3	quotes	Democracy is Worst Form of Government	Winston Churchill
equality	equality.html	3	quotes	Equals	John Lennon
equality	equality.html	3	quotes	ESPN president meets Steve Jobs	Tom Shales and James Andrew Miller
equality	equality.html	3	quotes	The Eternal Struggle for Human Rights	Albert Einstein
equality	equality.html	3	quotes	First they came...	Martin Niemöller
equality	equality.html	3	quotes	Generosity is the robust strategy	Tim O'Reilly
equality	equality.html	3	quotes	Good Management is Like The Beatles	Steve Jobs
equality	equality.html	3	quotes	Guided missiles and misguided men	Martin Luther King Jr.
equality	equality.html	3	quotes	A hereditary meritocracy	Edward Luce
equality	equality.html	3	quotes	History is not some self-driving car	Edward Luce
equality	equality.html	3	quotes	If you'll just rattle your jewelry	John Lennon
equality	equality.html	3	quotes	A law against private jets	Abigail Disney
equality	equality.html	3	quotes	Liberal democracy's strongest glue is economic growth	Edward Luce
